tweet,price_change
Huge dump incoming!,0
Bitcoin adoption is growing worldwide.,0
New all-time high for Ethereum!,0
Bitcoin adoption is growing worldwide.,0
Is this the right time to buy Bitcoin?,1
Crypto whales are buying the dip.,1
Crypto whales are buying the dip.,1
Ethereum is crashing! 😱,1
Bitcoin adoption is growing worldwide.,0
Institutions are investing heavily in crypto.,0
Altcoins are pumping hard!,1
Bitcoin adoption is growing worldwide.,1
Huge dump incoming!,0
Bitcoin is going to the moon! 🚀,0
Crypto prices are recovering fast.,1
Bitcoin is going to the moon! 🚀,1
Bitcoin is going to the moon! 🚀,1
New memecoin is taking over the market!,1
Huge dump incoming!,0
Crypto market is bullish today.,0
Crypto prices are recovering fast.,1
Bitcoin adoption is growing worldwide.,1
Altcoins are pumping hard!,0
Massive Bitcoin sell-off happening now.,1
Crypto market is bullish today.,0
Bitcoin ETF just got approved!,0
Ethereum merge is a game changer!,1
Bearish trend spotted in the market.,0
Bitcoin ETF just got approved!,0
Bitcoin adoption is growing worldwide.,0
Is this the end of crypto?,1
Huge dump incoming!,1
Bearish trend spotted in the market.,1
Ethereum merge is a game changer!,0
Is this the end of crypto?,1
Huge dump incoming!,0
New memecoin is taking over the market!,0
New all-time high for Ethereum!,1
Bearish trend spotted in the market.,0
Institutions are investing heavily in crypto.,0
Crypto prices are recovering fast.,1
Massive Bitcoin sell-off happening now.,1
Bitcoin ETF just got approved!,1
Altcoins are pumping hard!,0
Institutions are investing heavily in crypto.,1
Crypto whales are buying the dip.,0
Huge dump incoming!,0
Massive Bitcoin sell-off happening now.,1
Is this the right time to buy Bitcoin?,0
Ethereum merge is a game changer!,0
Bitcoin ETF just got approved!,1
Bearish trend spotted in the market.,1
Altcoins are pumping hard!,0
Regulations are hitting the crypto market.,1
Crypto prices are recovering fast.,1
Crypto winter is coming...,0
Crypto market is bullish today.,1
New memecoin is taking over the market!,1
Bearish trend spotted in the market.,1
Bitcoin is going to the moon! 🚀,1
Huge dump incoming!,0
Bitcoin ETF just got approved!,0
Huge dump incoming!,0
Crypto winter is coming...,1
Regulations are hitting the crypto market.,0
Massive Bitcoin sell-off happening now.,0
Bitcoin ETF just got approved!,0
Bitcoin adoption is growing worldwide.,0
Bitcoin is going to the moon! 🚀,1
Is this the end of crypto?,0
Bitcoin ETF just got approved!,0
Crypto prices are recovering fast.,1
Ethereum merge is a game changer!,0
Crypto whales are buying the dip.,1
Bitcoin is going to the moon! 🚀,0
Altcoins are pumping hard!,0
Is this the right time to buy Bitcoin?,0
Ethereum is crashing! 😱,1
Is this the end of crypto?,0
New all-time high for Ethereum!,1
Crypto winter is coming...,1
Crypto market is bullish today.,1
Bitcoin adoption is growing worldwide.,1
New memecoin is taking over the market!,1
New all-time high for Ethereum!,1
Bitcoin adoption is growing worldwide.,1
Ethereum is crashing! 😱,0
Is this the end of crypto?,1
Crypto whales are buying the dip.,1
Altcoins are bleeding today.,1
Ethereum is crashing! 😱,0
Institutions are investing heavily in crypto.,1
Ethereum merge is a game changer!,1
Is this the right time to buy Bitcoin?,0
Crypto whales are buying the dip.,0
Institutions are investing heavily in crypto.,0
Crypto prices are recovering fast.,1
Altcoins are bleeding today.,0
Massive Bitcoin sell-off happening now.,0
Ethereum merge is a game changer!,1
Crypto market is bullish today.,0
Regulations are hitting the crypto market.,0
Bitcoin adoption is growing worldwide.,0
Bitcoin adoption is growing worldwide.,1
New memecoin is taking over the market!,1
Bearish trend spotted in the market.,1
Institutions are investing heavily in crypto.,0
Massive Bitcoin sell-off happening now.,0
Massive Bitcoin sell-off happening now.,1
Crypto prices are recovering fast.,0
Altcoins are bleeding today.,1
Altcoins are bleeding today.,0
New memecoin is taking over the market!,1
Altcoins are bleeding today.,1
Altcoins are bleeding today.,0
Altcoins are bleeding today.,0
Altcoins are bleeding today.,0
Bearish trend spotted in the market.,0
New all-time high for Ethereum!,1
Ethereum is crashing! 😱,0
Bitcoin is going to the moon! 🚀,1
Ethereum is crashing! 😱,0
Crypto whales are buying the dip.,1
Bitcoin is going to the moon! 🚀,1
Is this the right time to buy Bitcoin?,0
Bitcoin ETF just got approved!,1
Bearish trend spotted in the market.,1
Institutions are investing heavily in crypto.,1
Crypto whales are buying the dip.,0
Bitcoin adoption is growing worldwide.,0
Is this the right time to buy Bitcoin?,1
Huge dump incoming!,0
Crypto market is bullish today.,1
Altcoins are bleeding today.,1
Bitcoin ETF just got approved!,1
Bearish trend spotted in the market.,0
Bitcoin is going to the moon! 🚀,0
Ethereum is crashing! 😱,1
Crypto market is bullish today.,1
Massive Bitcoin sell-off happening now.,1
Is this the end of crypto?,0
New memecoin is taking over the market!,1
Bearish trend spotted in the market.,0
Bitcoin ETF just got approved!,0
New all-time high for Ethereum!,0
Bitcoin is going to the moon! 🚀,1
Altcoins are pumping hard!,1
Bitcoin adoption is growing worldwide.,1
Altcoins are pumping hard!,1
New memecoin is taking over the market!,1
Is this the end of crypto?,0
Massive Bitcoin sell-off happening now.,0
Crypto market is bullish today.,0
Bitcoin ETF just got approved!,1
New memecoin is taking over the market!,0
Crypto winter is coming...,1
Crypto prices are recovering fast.,0
Altcoins are bleeding today.,1
Regulations are hitting the crypto market.,1
Massive Bitcoin sell-off happening now.,1
Altcoins are pumping hard!,1
Crypto market is bullish today.,1
Institutions are investing heavily in crypto.,0
Bitcoin ETF just got approved!,0
Ethereum is crashing! 😱,1
Altcoins are bleeding today.,0
Is this the right time to buy Bitcoin?,0
Regulations are hitting the crypto market.,0
Bitcoin is going to the moon! 🚀,0
Crypto whales are buying the dip.,1
Massive Bitcoin sell-off happening now.,0
Bitcoin adoption is growing worldwide.,0
Ethereum merge is a game changer!,1
Is this the right time to buy Bitcoin?,0
Is this the right time to buy Bitcoin?,0
Institutions are investing heavily in crypto.,0
Massive Bitcoin sell-off happening now.,1
Crypto whales are buying the dip.,1
Crypto market is bullish today.,1
Ethereum merge is a game changer!,0
Bitcoin is going to the moon! 🚀,0
Ethereum is crashing! 😱,1
Regulations are hitting the crypto market.,0
Bitcoin adoption is growing worldwide.,1
Bitcoin is going to the moon! 🚀,0
Ethereum is crashing! 😱,0
Huge dump incoming!,1
Bearish trend spotted in the market.,1
Institutions are investing heavily in crypto.,0
Altcoins are bleeding today.,0
Bitcoin ETF just got approved!,0
Ethereum merge is a game changer!,0
Bitcoin adoption is growing worldwide.,1
New all-time high for Ethereum!,0
Bearish trend spotted in the market.,0
Is this the end of crypto?,0
Bitcoin ETF just got approved!,0
Bearish trend spotted in the market.,1
Institutions are investing heavily in crypto.,1
Ethereum is crashing! 😱,1
Massive Bitcoin sell-off happening now.,0
Bitcoin ETF just got approved!,0
Bitcoin is going to the moon! 🚀,0
Crypto whales are buying the dip.,1
Institutions are investing heavily in crypto.,0
Is this the end of crypto?,0
Massive Bitcoin sell-off happening now.,0
Is this the right time to buy Bitcoin?,0
Crypto winter is coming...,1
Crypto market is bullish today.,0
Ethereum is crashing! 😱,0
Ethereum merge is a game changer!,1
Ethereum is crashing! 😱,0
Crypto winter is coming...,0
Huge dump incoming!,0
Ethereum merge is a game changer!,1
Bitcoin is going to the moon! 🚀,1
Crypto prices are recovering fast.,0
Bitcoin adoption is growing worldwide.,0
Bitcoin is going to the moon! 🚀,1
Is this the end of crypto?,1
Is this the right time to buy Bitcoin?,1
Altcoins are bleeding today.,1
Crypto market is bullish today.,1
Massive Bitcoin sell-off happening now.,0
Crypto market is bullish today.,1
Crypto prices are recovering fast.,0
Altcoins are pumping hard!,1
Altcoins are pumping hard!,1
Institutions are investing heavily in crypto.,1
Crypto winter is coming...,1
Altcoins are pumping hard!,0
Bearish trend spotted in the market.,1
Bitcoin adoption is growing worldwide.,0
Crypto winter is coming...,0
Regulations are hitting the crypto market.,1
Huge dump incoming!,0
Crypto winter is coming...,0
Massive Bitcoin sell-off happening now.,1
Altcoins are pumping hard!,0
Crypto whales are buying the dip.,0
New memecoin is taking over the market!,0
Bearish trend spotted in the market.,0
Institutions are investing heavily in crypto.,0
Bearish trend spotted in the market.,1
Crypto market is bullish today.,1
Ethereum is crashing! 😱,0
Crypto market is bullish today.,0
New memecoin is taking over the market!,0
Crypto prices are recovering fast.,1
Bearish trend spotted in the market.,0
New all-time high for Ethereum!,1
Is this the right time to buy Bitcoin?,0
Altcoins are pumping hard!,1
Ethereum merge is a game changer!,1
Massive Bitcoin sell-off happening now.,0
Huge dump incoming!,0
Crypto prices are recovering fast.,0
Altcoins are bleeding today.,0
Altcoins are pumping hard!,1
Altcoins are bleeding today.,1
Massive Bitcoin sell-off happening now.,0
Altcoins are bleeding today.,0
New all-time high for Ethereum!,1
Massive Bitcoin sell-off happening now.,0
Is this the end of crypto?,1
Altcoins are pumping hard!,1
Bearish trend spotted in the market.,0
Bitcoin ETF just got approved!,1
Is this the end of crypto?,1
Is this the end of crypto?,1
Huge dump incoming!,0
Crypto winter is coming...,1
Ethereum merge is a game changer!,1
Bitcoin is going to the moon! 🚀,0
Crypto winter is coming...,0
Crypto whales are buying the dip.,0
Ethereum merge is a game changer!,1
New all-time high for Ethereum!,1
Altcoins are pumping hard!,0
Huge dump incoming!,0
Ethereum merge is a game changer!,0
Bearish trend spotted in the market.,0
Crypto market is bullish today.,0
Is this the end of crypto?,1
Crypto market is bullish today.,0
Crypto whales are buying the dip.,1
Is this the end of crypto?,1
Bitcoin ETF just got approved!,1
Massive Bitcoin sell-off happening now.,0
Crypto market is bullish today.,0
Massive Bitcoin sell-off happening now.,1
Ethereum merge is a game changer!,0
Bearish trend spotted in the market.,1
Bitcoin is going to the moon! 🚀,0
Huge dump incoming!,1
Crypto market is bullish today.,1
Bitcoin is going to the moon! 🚀,0
Crypto market is bullish today.,0
Bearish trend spotted in the market.,0
Altcoins are pumping hard!,0
Massive Bitcoin sell-off happening now.,0
Crypto prices are recovering fast.,0
Bitcoin adoption is growing worldwide.,0
New memecoin is taking over the market!,1
Is this the right time to buy Bitcoin?,0
Is this the end of crypto?,0
Altcoins are bleeding today.,1
Altcoins are bleeding today.,1
Institutions are investing heavily in crypto.,1
Bitcoin adoption is growing worldwide.,1
Is this the end of crypto?,1
Altcoins are pumping hard!,1
Ethereum is crashing! 😱,1
Crypto market is bullish today.,0
Crypto whales are buying the dip.,1
Bitcoin is going to the moon! 🚀,0
Ethereum is crashing! 😱,1
Huge dump incoming!,0
Huge dump incoming!,0
Crypto prices are recovering fast.,1
Bearish trend spotted in the market.,0
Is this the end of crypto?,0
Altcoins are bleeding today.,1
Crypto market is bullish today.,1
Ethereum merge is a game changer!,1
Is this the end of crypto?,0
Massive Bitcoin sell-off happening now.,1
Altcoins are bleeding today.,0
Institutions are investing heavily in crypto.,0
Ethereum is crashing! 😱,0
Crypto market is bullish today.,1
Ethereum is crashing! 😱,0
Bitcoin adoption is growing worldwide.,0
Bearish trend spotted in the market.,0
Is this the end of crypto?,0
Bitcoin is going to the moon! 🚀,0
Crypto market is bullish today.,0
Crypto winter is coming...,0
Ethereum merge is a game changer!,1
Institutions are investing heavily in crypto.,1
Institutions are investing heavily in crypto.,1
Is this the right time to buy Bitcoin?,0
Is this the end of crypto?,1
Regulations are hitting the crypto market.,0
Bitcoin adoption is growing worldwide.,1
Is this the right time to buy Bitcoin?,1
New memecoin is taking over the market!,1
Bitcoin ETF just got approved!,0
Crypto prices are recovering fast.,0
Altcoins are pumping hard!,1
Crypto prices are recovering fast.,0
New all-time high for Ethereum!,0
Crypto winter is coming...,0
Bitcoin is going to the moon! 🚀,0
Ethereum merge is a game changer!,0
Bitcoin ETF just got approved!,1
Is this the right time to buy Bitcoin?,1
Bitcoin is going to the moon! 🚀,1
Crypto whales are buying the dip.,1
Ethereum merge is a game changer!,0
Crypto whales are buying the dip.,1
Regulations are hitting the crypto market.,0
Is this the end of crypto?,1
Huge dump incoming!,1
Crypto winter is coming...,0
New all-time high for Ethereum!,1
Bitcoin is going to the moon! 🚀,0
Altcoins are pumping hard!,1
Ethereum is crashing! 😱,0
Bitcoin is going to the moon! 🚀,0
Bitcoin adoption is growing worldwide.,1
Crypto prices are recovering fast.,0
Bitcoin is going to the moon! 🚀,0
New all-time high for Ethereum!,1
Bitcoin is going to the moon! 🚀,1
Altcoins are bleeding today.,1
New all-time high for Ethereum!,0
Ethereum is crashing! 😱,0
Bitcoin is going to the moon! 🚀,1
Is this the end of crypto?,0
Massive Bitcoin sell-off happening now.,0
Ethereum is crashing! 😱,0
Regulations are hitting the crypto market.,0
Huge dump incoming!,1
Crypto prices are recovering fast.,1
Ethereum is crashing! 😱,1
Huge dump incoming!,0
Altcoins are bleeding today.,1
Altcoins are bleeding today.,1
New memecoin is taking over the market!,0
Crypto whales are buying the dip.,1
New all-time high for Ethereum!,1
Huge dump incoming!,0
Is this the end of crypto?,1
New all-time high for Ethereum!,0
Regulations are hitting the crypto market.,1
Bitcoin ETF just got approved!,1
Is this the right time to buy Bitcoin?,0
Huge dump incoming!,1
Bitcoin ETF just got approved!,1
Institutions are investing heavily in crypto.,0
Crypto winter is coming...,0
Crypto whales are buying the dip.,0
Huge dump incoming!,0
New all-time high for Ethereum!,1
New all-time high for Ethereum!,1
Ethereum is crashing! 😱,1
Crypto whales are buying the dip.,0
New memecoin is taking over the market!,1
Institutions are investing heavily in crypto.,1
Altcoins are pumping hard!,0
Altcoins are bleeding today.,1
Crypto whales are buying the dip.,0
New all-time high for Ethereum!,0
New memecoin is taking over the market!,1
New memecoin is taking over the market!,1
New memecoin is taking over the market!,0
Crypto whales are buying the dip.,1
Crypto winter is coming...,0
Institutions are investing heavily in crypto.,1
Crypto market is bullish today.,0
New all-time high for Ethereum!,0
Is this the end of crypto?,0
Huge dump incoming!,1
Altcoins are bleeding today.,1
Is this the right time to buy Bitcoin?,0
Bearish trend spotted in the market.,1
Massive Bitcoin sell-off happening now.,0
New all-time high for Ethereum!,0
Regulations are hitting the crypto market.,1
Bitcoin adoption is growing worldwide.,1
Crypto market is bullish today.,0
Ethereum merge is a game changer!,1
Huge dump incoming!,1
Huge dump incoming!,0
Is this the right time to buy Bitcoin?,0
Ethereum merge is a game changer!,1
New all-time high for Ethereum!,1
Crypto market is bullish today.,0
Crypto whales are buying the dip.,0
Altcoins are pumping hard!,0
Ethereum merge is a game changer!,0
Crypto whales are buying the dip.,0
Bearish trend spotted in the market.,0
Altcoins are bleeding today.,0
Regulations are hitting the crypto market.,1
Bitcoin adoption is growing worldwide.,0
Ethereum merge is a game changer!,0
Crypto winter is coming...,0
Ethereum merge is a game changer!,0
Is this the right time to buy Bitcoin?,0
Huge dump incoming!,1
Ethereum is crashing! 😱,0
Crypto market is bullish today.,1
Bitcoin adoption is growing worldwide.,1
Huge dump incoming!,1
Bitcoin is going to the moon! 🚀,1
Crypto market is bullish today.,0
Regulations are hitting the crypto market.,0
Is this the end of crypto?,1
Crypto market is bullish today.,0
Is this the end of crypto?,0
Ethereum merge is a game changer!,0
Crypto whales are buying the dip.,0
Huge dump incoming!,1
